x,y,z
53,534.6854062695791,1
83,1421.2162490490045,1.02020202020202
93,1803.736337235652,1.0404040404040404
58,704.9190697279008,1.0606060606060606
63,762.1096463024504,1.0808080808080809
53,571.5527841561717,1.101010101010101
50,601.4989415628223,1.121212121212121
81,1390.9678513489375,1.1414141414141414
75,1161.0079463713487,1.1616161616161615
87,1560.0340204738056,1.1818181818181819
69,1093.3285034788266,1.202020202020202
50,544.5882068929915,1.2222222222222223
51,564.5779346802314,1.2424242424242424
65,916.2700107831027,1.2626262626262625
58,809.593910893448,1.2828282828282829
99,2082.585462862814,1.303030303030303
88,1538.2670789890951,1.3232323232323233
65,925.5442987360843,1.3434343434343434
94,1814.6326878975362,1.3636363636363638
76,1168.600423127785,1.3838383838383839
88,1621.247996465696,1.404040404040404
53,619.4406965385683,1.4242424242424243
60,754.6718784823537,1.4444444444444444
50,602.6020993420409,1.4646464646464648
54,610.3650110077771,1.4848484848484849
76,1127.5952001216679,1.5050505050505052
67,970.1487063535753,1.5252525252525253
59,763.5302999558568,1.5454545454545454
81,1306.1347293107847,1.5656565656565657
93,1818.7443967420118,1.5858585858585859
53,578.0232026255909,1.606060606060606
100,1957.1676373324137,1.6262626262626263
68,812.5510278692223,1.6464646464646466
72,1057.922145239893,1.6666666666666667
77,1203.102086139844,1.6868686868686869
56,574.6231614117722,1.7070707070707072
78,1147.8562824537878,1.7272727272727273
52,523.2924420435853,1.7474747474747474
78,1219.013921584592,1.7676767676767677
73,1006.3592257495216,1.787878787878788
92,1639.7109706454137,1.8080808080808082
65,802.497748444273,1.8282828282828283
54,534.5688512966741,1.8484848484848486
57,619.1345604246851,1.8686868686868687
83,1442.7041833478452,1.8888888888888888
57,639.6849057559112,1.9090909090909092
74,1084.668827549204,1.9292929292929295
90,1622.9203346596719,1.9494949494949496
78,1255.7290333570477,1.9696969696969697
77,1183.2971917433003,1.98989898989899
64,838.187422615158,2.0101010101010104
67,884.1624776695846,2.0303030303030303
66,892.3069375763973,2.0505050505050506
95,1861.0475163000003,2.070707070707071
75,1214.3068225171503,2.090909090909091
74,1154.013651942789,2.111111111111111
58,701.1046293314963,2.1313131313131315
66,971.0923332470618,2.1515151515151514
69,934.1212734062163,2.1717171717171717
94,1797.8513229823047,2.191919191919192
91,1736.9557563327633,2.212121212121212
56,653.9269667761051,2.2323232323232327
85,1592.5464737479365,2.2525252525252526
68,979.5576882638132,2.272727272727273
59,793.348849902125,2.2929292929292933
79,1369.5072699539467,2.313131313131313
99,2043.8576423399818,2.3333333333333335
68,934.108175953875,2.353535353535354
69,1012.8602855903468,2.3737373737373737
88,1610.2894638947491,2.393939393939394
52,549.5343675515552,2.4141414141414144
83,1503.8845936472542,2.4343434343434343
99,2013.0710725604577,2.4545454545454546
91,1716.8797062043595,2.474747474747475
71,1053.5899691952652,2.494949494949495
79,1309.6355852976835,2.5151515151515156
91,1624.1586643020044,2.5353535353535355
85,1427.6276432740806,2.5555555555555554
99,1967.0606101411895,2.575757575757576
80,1271.5182700311834,2.595959595959596
55,563.4628937660699,2.6161616161616164
59,717.0922352543093,2.6363636363636367
95,1782.0028006069185,2.6565656565656566
82,1285.0904507387768,2.676767676767677
90,1695.3554982130117,2.6969696969696972
68,867.3029395744699,2.717171717171717
94,1760.9526312432572,2.7373737373737375
66,813.0748638944813,2.757575757575758
74,1024.4371004205645,2.7777777777777777
54,530.2034972340731,2.7979797979797985
83,1365.6034783034083,2.8181818181818183
59,696.9498191627667,2.8383838383838382
68,912.5448162172869,2.858585858585859
93,1692.3400532398152,2.878787878787879
63,810.4304257896653,2.8989898989898992
54,573.1775646352202,2.9191919191919196
75,1168.6304607916481,2.9393939393939394
97,1861.678210576112,2.95959595959596
100,2042.417033462897,2.97979797979798
60,741.9997543032857,3
